,Unnamed: 0.1,Unnamed: 0,Rank,Player,Team,Age,GP,Wins,Losses,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PlusMinus,First Round Exit
0,0,0,1.0,Joel Embiid,PHI,30,6,2,4,41.4,33.0,9.8,22.2,44.4,2.2,6.5,33.3,11.2,13.0,85.9,3.2,7.7,10.8,5.7,4.2,1.2,1.5,3.3,58.3,4.0,1.0,7.7,Yes
1,1,1,2.0,Jalen Brunson,NYK,27,10,6,4,40.8,32.9,11.6,26.2,44.3,2.0,6.7,29.9,7.7,9.9,77.8,0.8,3.0,3.8,7.6,3.0,1.0,0.2,2.1,49.5,3.0,0.0,0.1,No
2,2,2,3.0,Anthony Edwards,MIN,22,8,6,2,40.0,32.1,11.8,21.0,56.0,3.3,7.4,44.1,5.4,6.5,82.7,1.1,5.4,6.5,5.6,3.6,1.6,0.9,2.4,52.2,0.0,0.0,7.6,No
3,3,3,4.0,Damian Lillard,MIL,33,4,1,3,39.1,31.3,8.5,20.3,42.0,5.0,12.0,41.7,9.3,9.5,97.4,0.5,2.8,3.3,5.0,2.3,1.0,0.0,2.0,43.4,0.0,0.0,-8.8,Yes
4,4,4,5.0,Tyrese Maxey,PHI,23,6,2,4,44.6,29.8,11.0,23.0,47.8,3.7,9.2,40.0,4.2,4.7,89.3,0.2,5.0,5.2,6.8,2.2,0.8,0.3,2.7,47.6,1.0,0.0,-1.3,Yes
5,5,5,6.0,Donovan Mitchell,CLE,27,10,5,5,38.2,29.6,10.7,22.5,47.6,2.9,8.2,35.4,5.3,6.5,81.5,0.6,4.8,5.4,4.7,2.8,1.3,0.3,2.9,45.1,0.0,0.0,0.0,No
6,6,6,7.0,Shai Gilgeous-Alexander,OKC,25,8,6,2,39.2,29.5,10.6,22.1,48.0,1.3,3.5,35.7,7.0,8.5,82.4,1.0,6.9,7.9,6.0,2.4,1.4,1.8,3.1,55.0,3.0,0.0,7.4,No
7,7,7,8.0,Anthony Davis,LAL,31,5,1,4,41.6,27.8,11.8,18.6,63.4,0.0,1.0,0.0,4.2,5.2,80.8,3.0,12.6,15.6,4.0,2.2,0.4,1.6,3.8,56.3,5.0,0.0,-1.8,Yes
8,8,8,8.0,LeBron James,LAL,39,5,1,4,40.8,27.8,11.2,19.8,56.6,2.0,5.2,38.5,3.4,4.6,73.9,0.8,6.0,6.8,8.8,3.8,2.4,1.0,2.2,55.6,2.0,0.0,-2.2,Yes
9,9,9,10.0,Nikola Jokic,DEN,29,9,6,3,39.8,27.6,10.7,19.4,54.9,1.1,4.0,27.8,5.1,5.7,90.2,3.6,10.4,14.0,9.1,3.8,1.7,0.7,3.0,61.2,7.0,2.0,2.7,No
