,#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
1,1,LeBron James,1492,56596,40474,14837,29313,50.6,2410,6926,34.8,8390,11404,73.6,1727,9458,11185,11009,2275,1111,5211,54.7,58.9
2,2,Kareem Abdul-Jabbar,1560,57446,38387,15837,28307,55.9,1,18,5.6,6712,9304,72.1,2975,9394,17440,5660,1160,3189,2527,55.9,59.2
3,3,Karl Malone,1476,54852,36928,13528,26210,51.6,85,310,27.4,9787,13188,74.2,3562,11406,14968,5248,2085,1145,4524,51.8,57.7
4,4,Kobe Bryant,1346,48643,33643,11719,26200,44.7,1827,5546,32.9,8378,10011,83.7,1499,5548,7047,6306,1944,640,4010,48.2,55.0
5,5,Michael Jordan,1072,41010,32292,12192,24537,49.7,581,1778,32.7,7327,8772,83.5,1668,5004,6672,5633,2514,893,2924,50.9,56.9
6,6,Dirk Nowitzki,1522,51367,31560,11169,23734,47.1,1982,5210,38.0,7240,8239,87.9,1468,10021,11489,3651,1210,1281,2494,51.2,57.7
7,7,Wilt Chamberlain,1045,47859,31419,12681,23497,54.0,,,,6057,11862,51.1,,,23924,4643,,,,54.0,54.7
8,8,Kevin Durant,1061,38972,28924,9950,19875,50.1,2031,5248,38.7,6993,7910,88.4,717,6737,7454,4645,1124,1196,3364,55.2,61.9
9,9,Shaquille O'Neal,1207,41917,28596,11330,19457,58.2,1,22,4.5,5935,11252,52.7,4209,8890,13099,3026,739,2732,3310,58.2,58.6
10,10,Carmelo Anthony,1260,43513,28289,10119,22643,44.7,1731,4873,35.5,6320,7764,81.4,1983,5825,7808,3422,1223,644,3052,48.5,54.3
11,11,Moses Malone,1329,45071,27409,9435,19225,49.1,8,80,10.0,8531,11090,76.9,6731,9481,16212,1796,1089,1733,3804,49.1,56.9
12,12,Elvin Hayes,1303,50000,27313,10976,24272,45.2,5,34,14.7,5356,7999,67.0,2778,6973,16279,2398,864,1771,1358,45.2,49.1
13,13,Hakeem Olajuwon,1238,44218,26946,10749,20991,51.2,25,124,20.2,5423,7621,71.2,4034,9714,13748,3058,2162,3830,3667,51.3,55.3
14,14,Oscar Robertson,1040,43886,26710,9508,19620,48.5,,,,7694,9185,83.8,71,208,7804,9887,77,4,,48.5,56.4
15,15,Dominique Wilkins,1074,38115,26668,9963,21589,46.1,711,2231,31.9,6031,7438,81.1,2950,4219,7169,2677,1378,642,2669,47.8,53.6
16,16,Tim Duncan,1392,47367,26496,10285,20334,50.6,30,168,17.9,5896,8468,69.6,3859,11232,15091,4225,1025,3020,3381,50.7,55.1
17,17,Paul Pierce,1343,45879,26397,8668,19465,44.5,2143,5816,36.8,6918,8578,80.6,1092,6435,7527,4708,1752,745,3532,50.0,56.8
18,18,John Havlicek,1270,46471,26395,10513,23930,43.9,,,,5369,6589,81.5,610,1389,8007,6114,476,117,204,43.9,49.2
19,19,Kevin Garnett,1462,50412,26071,10505,21142,49.7,174,632,27.5,4887,6190,78.9,3209,11453,14662,5445,1859,2037,3179,50.1,54.6
